"","Date","1M","2M","3M","4M","5M","6M","7M","8M","9M","10M","11M","1Y","13M","14M","15M","16M","17M","18M","19M","20M","21M","22M","23M","2Y"
"1","2017-03-01","9.77684900733708","9.71326761947909","9.66279703631058","9.52817785543762","9.34078579941676","9.15295093120094","8.99611549480474","8.86976028568383","8.78106373385281","8.7203943833693","8.68503447945006","8.66930887341702","8.6663367414959","8.67290926369196","8.68630478800516","8.70275299025645","8.72164025049964","8.74084907954249","8.75871046130075","8.7760330414275","8.79117120733109","8.80516768107681","8.81737021264909","8.82670492533003"
"2","2017-04-01","9.46465825094154","9.35402981819385","9.23758234754393","9.08227444359326","8.9308182571118","8.81496159103289","8.73466755128337","8.69073721658923","8.67224629094011","8.67252168939432","8.68283525311324","8.70057362141412","8.72041473465915","8.74123671318281","8.76023082747597","8.77788286341523","8.79317906604698","8.80570069543669","8.81643931298096","8.82491281852194","8.83196492238433","8.83755286649419","8.84154525547046","8.84503508146948"
"3","2017-05-01","8.94770923636668","8.83066427022109","8.83588423784815","8.72767059648764","8.56171675618964","8.38205144428067","8.23124065250103","8.11073600136173","8.02690992454436","7.97949406363794","7.95169999525763","7.94439041842335","7.95126463780758","7.96764440646861","7.99065199832378","8.01704898246949","8.04385951131723","8.07120919342531","8.09654173350496","8.12078515688065","8.14280684805623","8.16083362910956","8.17837619663258","8.1932625173897"
"4","2017-06-01","8.85210030392782","8.75503430482126","8.7655006656241","8.70082252079657","8.52342236092077","8.34203902534426","8.17793211875069","8.05012201191471","7.9667674724771","7.90618453618736","7.8736794172333","7.86094169179805","7.86337104669227","7.87639490685609","7.89619727297115","7.91894746176789","7.94401484677242","7.9682783837374","7.99234240061769","8.01471017000795","8.03311849747137","8.05143017307245","8.06703119083196","8.08106395007798"
"5","2017-07-01","8.71632629375398","8.5655791414448","8.44359702737844","8.28047246483771","8.23067379804701","8.14060763835796","8.08619942685803","8.06560445700234","8.06413531594985","8.07874876185231","8.10304024342431","8.13162366224821","8.16219935996457","8.19204217702246","8.21927797600074","8.24442580197032","8.26622201628566","8.28561350078627","8.30230440012127","8.31586547521508","8.32814935725712","8.33843440104695","8.34733295864712","8.35481245273225"
"6","2017-08-01","8.51073680240126","8.36932508964003","8.30540232109863","8.23311903446885","8.15155579403035","8.17689630036238","8.16136667914099","8.15896771048729","8.17039650568958","8.19044968936494","8.21534834931344","8.24259327666713","8.26996393637508","8.29577031922712","8.3200397389223","8.34173162834816","8.36139635556671","8.37876404808171","8.39346939402862","8.40688361780115","8.41846752315306","8.42869487146207","8.43755139768796","8.445379704783"
"7","2017-09-01","8.16206123192005","8.08016975091088","8.00621264572039","7.89008090480862","7.77664059617211","7.67785147710971","7.76970378133554","7.77510309098845","7.79580145324596","7.82680888499996","7.86335827893741","7.90199060296498","7.93982699342252","7.97622318016948","8.00952296009845","8.04015086522369","8.06760348805765","8.09126319255822","8.1129378192105","8.13185987442213","8.14867370736864","8.16335181472352","8.17638384213774","8.18787222821626"
"8","2017-10-01","7.88077155232965","7.80879938023772","7.80569983489441","7.75359023702486","7.67819966849454","7.56471219993583","7.47455025500587","7.68512538052423","7.68143446883752","7.68766191012773","7.70260888820592","7.72375452093477","7.7486212870515","7.775415369261","7.80309902632101","7.83049771335468","7.85590094453114","7.8807937927153","7.90363085008808","7.92488680082346","7.94395884675777","7.96140908489648","7.97705153878221","7.99084107706313"
"9","2017-11-01","7.79858775442875","7.67861148494079","7.65312106926789","7.58815803400764","7.50060161986246","7.40421940943685","7.29136214133121","7.15112040883231","7.61071181387894","7.61645925000846","7.63046419111432","7.64968346467357","7.67247666423621","7.69727317352122","7.72279433622338","7.7471877633045","7.77150232349346","7.79418995110669","7.81557553042396","7.83496331573588","7.85285072614512","7.86899321200447","7.8832938475794","7.89624268746747"
"10","2017-12-01","7.57652500539021","7.5024211728991","7.49303856953664","7.42671399589525","7.31120777401012","7.19819565790252","7.09844483061143","6.97547473377342","6.89231808375169","7.39062610737216","7.40950383440406","7.43478762499258","7.46383804327303","7.49499124916844","7.5258323078228","7.55698181174289","7.58659268390332","7.61484591668754","7.64077760271573","7.66490428364777","7.68685566599152","7.70644820867292","7.7242826244396","7.74005376751527"
