"","Date","beta_0","beta_1","beta_2","beta_3","tau1","tau2"
"1","2011-05-03",3.98119314338408,-0.541313039614421,0.209982307853676,-1.26128061988367,0.687318220163496,1.67291223659347
"2","2011-06-01",4.07120761274875,-0.541092320795096,3.09270710360678,-3.47535114573782,0.687318220163496,0.836453734134976
"3","2011-07-01",4.00125839235111,-0.39144322182215,1.84536506375479,-2.19047130682791,0.687318220163496,0.836453734134976
"4","2011-08-01",4.43133614389287,-0.149392996386879,-1.45786187021532,-0.59827575593589,0.129678799489867,0.836453734134976
"5","2011-09-01",4.53794439800772,-0.230650198740106,-0.306457526353261,1.31653889846976,0.129678799489867,3.34581331422505
"6","2011-10-03",5.81854776113246,-1.00738328915878,3.89660512012849,-4.2823320127762,0.687318220163496,0.836453734134976
"7","2011-11-01",5.76603398071531,-0.91171726325595,-0.34806521005586,-1.53301851992559,0.129678799489867,0.836453734134976
"8","2011-12-01",5.44801183815494,-0.320800046558848,-0.0123349432882282,-0.758668747039748,0.129678799489867,0.836453734134976
"9","2012-01-10",4.87897933355347,-0.532777279647538,0.489138564460587,1.31147258242576,0.129678799489867,3.34581331422505
"10","2012-02-01",5.3737709404938,-0.980373795241173,0.0975215714989666,-0.333462995414892,0.687318220163496,3.34581331422505
"11","2012-03-01",5.23174215964197,-0.365002455997818,-0.130616609454524,-0.772255872742807,0.129678799489867,0.836453734134976
"12","2012-04-02",5.36550589442342,-0.620373984975619,0.439532849341213,-0.540446374886919,0.129678799489867,0.836453734134976
"13","2012-05-02",5.17764638809954,-0.520496493480995,1.92382643979332,1.06755324247346,0.129678799489867,3.34581331422505
"14","2012-06-01",5.86366248552645,-0.344381977505606,0.0344035850721468,-0.169703387590682,0.129678799489867,0.836453734134976
"15","2012-07-02",6.06036005999768,-0.357791183693488,2.79187373761065,-2.63304907770812,0.687318220163496,0.836453734134976
"16","2012-08-01",5.42299012407318,-0.867930308929427,1.90554658110923,1.47516931209283,0.129678799489867,2.50937808531124
"17","2012-09-03",5.45984753372348,-0.570642886046011,1.01315284541904,1.29004989481964,0.129678799489867,3.34581331422505
"18","2012-10-01",6.07437291690616,-0.248941875499769,-0.058113131485389,-0.37330517112958,0.129678799489867,0.836453734134976
"19","2012-11-01",5.96558288858252,-0.33974732395216,0.696668263766677,0.176812775332373,0.129678799489867,2.50937808531124
"20","2012-12-03",5.82126065432473,-0.208593725623013,1.24855440424958,0.27029018868314,0.129678799489867,0.836453734134976
"21","2013-01-09",5.98907966186419,-0.114385818578696,-1.28839475322814,-0.656739027993768,0.129678799489867,3.34581331422505
"22","2013-02-01",5.57814894449891,-0.408806119599263,0.532088265791318,0.382119606371723,0.129678799489867,2.50937808531124
"23","2013-03-01",5.68959703253066,-0.151232024287578,0.914236282534236,0.344524069513811,0.129678799489867,0.836453734134976
"24","2013-04-01",5.66426894621274,-0.196170012753959,1.18266062382609,0.611074396614003,0.129678799489867,0.836453734134976
"25","2013-05-06",5.64530757680086,-0.0423522283744492,1.61989681450685,0.903793899743353,0.129678799489867,0.836453734134976
"26","2013-06-03",5.85222833621656,0.276731833148292,0.878813800660341,-0.409631356438418,0.687318220163496,0.836453734134976
"27","2013-07-01",5.835061023176,0.0383505065974885,1.58278540076172,-0.932345783996669,0.687318220163496,0.836453734134976
"28","2013-08-01",6.09314277271386,-0.260598195791907,0.5478341798637,-1.16263293767487,0.687318220163496,3.34581331422505
"29","2013-09-02",5.66087498347922,0.243513819204563,-0.0291732733694114,0.604891277167552,0.687318220163496,0.836453734134976
"30","2013-10-01",5.65545211677048,0.241987785580471,0.565866749142517,0.179451984773631,0.687318220163496,3.34581331422505
"31","2013-11-01",5.7546768803373,0.218100673382635,-0.169892663117568,0.655122941727823,0.687318220163496,0.836453734134976
"32","2013-12-02",5.91835609610502,0.346103575268146,0.538945967942879,-0.469724385572103,0.687318220163496,1.67291223659347
"33","2014-01-09",5.91951384206611,-0.334634781908478,1.00219944268519,0.359905496146013,0.129678799489867,0.836453734134976
"34","2014-02-03",6.16512152143452,-0.394466539907329,0.136822674240969,0.310640758013145,0.129678799489867,1.67291223659347
"35","2014-03-03",8.43978839520106,-0.349589346674437,-1.44721626378636,-0.958019383542128,0.129678799489867,2.50937808531124
"36","2014-04-01",8.4863776760447,-0.116461685746721,-1.48050961713145,-0.51611152347216,0.129678799489867,3.34581331422505
"37","2014-05-05",8.96710132621302,-0.30057892458751,-1.91291436214306,-0.974476117824923,0.129678799489867,2.50937808531124
"38","2014-06-02",8.44701814272203,0.38883874492981,-1.89160208248645,0.195674784829627,0.129678799489867,0.836453734134976
"39","2014-07-01",8.37430688110638,-0.28864762101154,-0.0814641135758373,0.208094363956133,0.129678799489867,1.67291223659347
"40","2014-08-01",8.93053672509654,-0.114134206057611,-2.50187593598717,0.311921628044563,0.129678799489867,0.836453734134976
"41","2014-09-01",8.38524203285424,-0.924891782203929,0.254610281898002,1.55734935189665,0.129678799489867,3.34581331422505
"42","2014-10-01",8.51233945430826,-0.704226066180561,0.132430711228379,1.37252267563028,0.129678799489867,3.34581331422505
"43","2014-11-05",9.96650195106556,-0.0140204886963254,0.250486606117514,1.422496946092,0.687318220163496,2.50937808531124
"44","2014-12-01",19.8407789679278,-0.225907970487105,-12.963287610687,-10.3011990034304,0.129678799489867,3.34581331422505
"45","2015-01-12",27.5955932106702,0.456287181981534,-29.5320951149524,-27.2380900613752,0.129678799489867,3.34581331422505
"46","2015-02-02",14.3111986511983,-0.753801039656056,3.09805244215038,3.39700848666383,0.129678799489867,0.836453734134976
