"","Date","1M","2M","3M","4M","5M","6M","7M","8M","9M","10M","11M","1Y","13M","14M","15M","16M","17M","18M","19M","20M","21M","22M","23M","2Y"
"1","2017-03-01",9.8643157624606,9.78471768079897,9.7157907959745,9.66249926628685,9.6212822470928,9.58860236236593,9.56193875232448,9.53960310505317,9.52047334736873,9.5037968426079,9.48906005293723,9.47590453257605,9.46407312947537,9.4533755403571,9.4436662081955,9.43483008501053,9.42677340971169,9.41941768771048,9.41269571865576,9.40654893802922,9.40092560495714,9.39577953811322,9.39106920939174,9.3867570736102
"2","2017-04-01",9.47063093545823,9.40230529628938,9.35475692553671,9.32336244091455,9.30288744432888,9.28951379405364,9.2807084410295,9.27483731349522,9.27085527487108,9.26809529417393,9.26613152954365,9.26469169754768,9.26360125267805,9.26274788336654,9.26205893882378,9.26148707661253,9.26100113474833,9.26058032395861,9.26021053002069,9.25988195731997,9.25958762511001,9.25932240606613,9.25908240988156,9.2588645865491
"3","2017-05-01",9.06997356836742,9.04433643987212,9.03366260182771,9.03213402148728,9.03600196094571,9.04289303878821,9.05132558120481,9.06038748719629,9.06952783051554,9.07842350764849,9.08689427619337,9.094848752694,9.10225016213307,9.10909467286474,9.11539774375269,9.12118556722104,9.12648974929381,9.13134404212222,9.13578237457618,9.13983770069292,9.14354136058744,9.14692275984804,9.15000924443132,9.15282609328624
"4","2017-06-01",9.17594632418867,9.21070715141663,9.23035154097551,9.24157621750632,9.2477949947011,9.25097684639774,9.25231839220915,9.25255992136461,9.25216111343195,9.25140667155024,9.25047175139375,9.249462914589,9.24844384836854,9.24745152997132,9.24650638213135,9.24561864699574,9.24479238007735,9.24402794677166,9.24332357720562,9.24267632939207,9.2420826810358,9.24153888868649,9.24104120150431,9.24058598451312
"5","2017-07-01",8.76266987136411,8.67795208603512,8.64276317727973,8.6371352513784,8.64873345807051,8.66990700880369,8.69593255038655,8.72392529692033,8.75215482502303,8.77961336606121,8.80574321858014,8.83026475302893,8.85306806096628,8.87414486995246,8.89354592095157,8.91135443395133,8.92766972612817,8.94259722518064,8.95624250034618,8.96870780766813,8.98009019964632,8.99048059992163,8.99996346552496,9.00861679961111
"6","2017-08-01",8.40404785410365,8.35861168163744,8.35266118907843,8.3715068468416,8.40431191564679,8.4440812761326,8.48652336235842,8.52908949524187,8.57032083809224,8.60943012106075,8.64603905820879,8.68001484954913,8.71136887865448,8.74019424993754,8.766627520617,8.79082547608599,8.81295123840281,8.83316614775013,8.85162519901112,8.86847465323683,8.88385096630743,8.89788050293556,8.91067970725334,8.92235552771902
"7","2017-09-01",8.06302335148682,7.93429772446509,7.89187777419448,7.90041347745418,7.93839030745426,7.99240719125444,8.05411298436464,8.11836190518854,8.18205046603278,8.24337331845859,8.30134537996509,8.35549499102145,8.40566723885996,8.45189827438234,8.49433535622864,8.53318631845074,8.56868794225473,8.60108644652362,8.63062572280673,8.65754049692739,8.68205260399279,8.70436921185963,8.724682246264,8.74316854039815
"8","2017-10-01",7.87746156608538,7.84222035191221,7.8593985091924,7.90364585891037,7.96195174990097,8.02668096812485,8.09318334567918,8.15864804269643,8.22143367006866,8.2806453558067,8.33586140916609,8.38695576415052,8.43398278011887,8.47710281394187,8.51653445791018,8.5525241958378,8.5853274112429,8.61519676967501,8.64237536861415,8.66709294894791,8.68956405330004,8.70998740451472,8.72854603209971,8.7454078412138
"9","2017-11-01",7.9252275556375,7.91297340177338,7.93711044221137,7.98267789573282,8.03953928168225,8.10125784887187,8.16386894338384,8.22500567088012,8.28332048360116,8.33810975395605,8.38907168897495,8.43615083373609,8.47943860041899,8.51910998487174,8.55538362153013,8.58849686132937,8.61869049456313,8.6461996427835,8.67124857530199,8.69404800290945,8.71479391715078,8.73366737701827,8.75083486048807,8.76644893751413
"10","2017-12-01",7.65217881630955,7.60860685990449,7.62245217744524,7.67038241369446,7.7368005177333,7.81187127747389,7.88955851151442,7.9662561530777,8.03989446148858,8.10936646143916,8.17416205899279,8.23413544952303,8.28935779433088,8.34002436017702,8.38639639873151,8.42876514818031,8.46742988909271,8.50268489898865,8.53481201378471,8.56407669672596,8.59072627810765,8.61498951672673,8.63707694559548,8.65718166338961
"11","2018-01-01",6.92500487378572,6.87550601616129,6.90270713262335,6.97666111036964,7.07616782927483,7.18754808997301,7.302313055963,7.41535850060823,7.52374315899017,7.62589193543794,7.72108240215699,7.80911567504792,7.89010638231808,7.96434933172363,8.03223548340263,8.09419955887955,8.15068789864815,8.20213923463361,8.24897365878951,8.29158675534033,8.33034695120148,8.36559483953311,8.39764368242854,8.42678058894022
"12","2018-02-01",7.32603990103246,7.46752162044527,7.59189398662307,7.70373387331487,7.80510328670212,7.89724214025954,7.98109475770762,8.05745749917052,8.12702791421892,8.19042697394137,8.2482122197249,8.3008868552755,8.34890658223917,8.39268501415893,8.432598129201,8.46898803913301,8.50216624964441,8.53241652612936,8.55999744170927,8.58514466100855,8.60807299847331,8.62897828052712,8.64803903458338,8.66541802366176
"13","2018-03-01",7.1535147631311,7.2124006373852,7.30013737348442,7.39970181603502,7.50220229651474,7.60279253384508,7.69887664216393,7.78916747915127,7.87314523649779,7.95073493873182,8.02211237680466,8.08758739908203,8.14753418952429,8.20235013079024,8.25243203121799,8.29816286172846,8.33990481652291,8.37799614348562,8.41275018885522,8.44445571165493,8.47337789688864,8.49975972465969,8.52382349152517,8.54577236509031
