"","Dates","1M","2M","3M","4M","5M","6M","7M","8M","9M","10M","11M","1Y","13M","14M","15M","16M","17M","18M","19M","20M","21M","22M","23M","2Y"
"1","2017-04-01","0.314315762460597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-05-01","0.350630935458227","0.664717680798974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-06-01","-0.040026431632576","0.292305296289383","0.605790795974501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-07-01","0.245946324188671","0.114336439872121","0.424756925536709","0.732499266286846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-08-01","0.262669871364114","0.710707151416635","0.533662601827709","0.823362440914552","1.1212822470928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-09-01","0.064047854103654","0.337952086035116","0.890351540975505","0.692134021487275","0.96288744432888","1.24860236236593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-10-01","0.0330233514868219","0.328611681637444","0.612763177279726","1.21157621750632","1.00600196094571","1.25951379405364","1.53193875232448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-11-01","-0.11253843391462","-0.0557022755349132","0.362661189078427","0.647135251378396","1.2577949947011","1.05289303878821","1.2907084410295","1.54960310505317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-12-01","0.145227555637499","0.0622203519122104","0.111877774194477","0.591506846841598","0.868733458070506","1.47097684639774","1.27132558120481","1.49483731349522","1.74047334736873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-01-01","0.572178816309549","0.832973401773377","0.779398509192402","0.820413477454184","1.32431191564679","1.58990700880369","2.17231839220915","1.98038748719629","2.19085527487108","2.4237968426079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2018-02-01","-0.234995126214278","0.448606859904492","0.777110442211368","0.743645858910368","0.778390307454257","1.2840812761326","1.53593255038655","2.09255992136461","1.90952783051554","2.10809529417393","2.32906005293723",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2018-03-01","0.166039901032459","-0.28449398383871","0.462452177445238","0.822677895732824","0.801951749900972","0.832407191254439","1.32652336235842","1.56392529692033","2.09216111343195","1.91842350764849","2.10613152954365","2.31590453257605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2018-04-01","0.1435147631311","0.457521620445273","-0.107292867376649","0.660382413694462","1.02953928168225","1.01668096812485","1.04411298436464","1.51908949524188","1.74215482502303","2.24140667155024","2.07689427619337","2.25469169754768","2.45407312947537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
