"","Date","1W","2W","1M","2M","3M","6M","1Y","2Y"
"1",2011-05-03,3.47147734524569,3.48462635609445,3.50668298144594,3.50199872367581,3.53089597957881,3.63568634333121,NA,NA
"2",2011-06-01,3.62814401191236,3.68112635609445,3.71913536239832,3.72457015224724,3.76770550338834,3.88037681952168,NA,NA
"3",2011-07-01,3.66909639286474,3.68731683228492,3.73056393382689,3.73266539034248,3.77865788434072,3.86323396237882,NA,NA
"4",2011-08-01,3.85756430176743,3.92025679087706,4.05687863361985,4.14556394106712,4.22737424044838,4.31027329985295,NA,NA
"5",2011-09-01,4.38375007251842,4.47930817427627,4.64591025417321,4.74827145094854,4.85253234321518,4.92373179787666,NA,NA
"6",2011-10-03,4.99528686905522,5.10826921323731,5.23294488620784,5.29885586653296,5.39008645576929,5.55323396237883,NA,NA
"7",2011-11-01,5.0610011547695,5.13684064180873,5.17770679096975,5.21552253319962,5.3696102652931,5.51704348618835,NA,NA
"8",2011-12-01,5.20784098160933,5.20839908336718,5.19909207235503,5.19827145094854,5.25389597957881,5.3350954342403,NA,NA
"9",2012-01-10,4.82022734524569,4.94050135609445,5.02193298144594,5.15599872367581,5.20952097957881,5.26293634333121,NA,NA
"10",2012-02-01,4.54305629261411,4.66428425083129,4.84186719197225,5.01652503946529,5.08758019010513,5.17313371175226,NA,NA
"11",2012-03-01,4.93338210715045,4.9535073084754,4.94913536239832,4.95980824748534,5.04770550338834,5.10561491475978,NA,NA
"12",2012-04-02,5.14528686905522,5.20255492752302,5.1848496481126,5.19266539034248,5.23913407481691,5.28180539095025,NA,NA
"13",2012-05-02,5.54576305953141,5.56922159418969,5.5000877433507,5.47076062843772,5.51151502719786,5.5294244385693,NA,NA
"14",2012-06-01,5.69447734524569,5.74412635609445,5.78068298144594,5.78649872367581,5.81489597957881,5.83218634333121,NA,NA
"15",2012-07-02,5.82784098160933,5.90339908336718,5.95409207235503,5.927816905494,5.94616870685154,5.97100452514939,NA,NA
"16",2012-08-01,5.65234691046308,5.77330026913793,5.78383515535898,5.8373030715019,5.88085250131794,5.87549069115729,NA,NA
"17",2012-09-03,5.53997734524569,5.63212635609445,5.67968298144594,5.74549872367581,5.80239597957881,5.85768634333121,NA,NA
"18",2012-10-01,5.89799908437613,5.92112635609445,5.92905254666333,5.94252046280625,5.97693945783968,6.01375156072251,NA,NA
"19",2012-11-01,6.02338210715045,6.05684064180873,6.03913536239832,6.0317130093901,6.03246740815024,6.02180539095025,NA,NA
"20",2012-12-03,6.12847734524569,6.11912635609445,6.03518298144594,5.96699872367581,5.92739597957881,5.88318634333121,NA,NA
"21",2013-01-09,5.52971263936334,5.60230282668268,5.72877121674006,5.76011637073464,5.76919009722587,5.76006869627238,NA,NA
"22",2013-02-01,5.56397734524569,5.62562635609445,5.65518298144594,5.67749872367581,5.69789597957881,5.68318634333121,NA,NA
"23",2013-03-01,5.93147734524569,5.94112635609445,5.87818298144594,5.83649872367581,5.81639597957881,5.74968634333121,NA,NA
"24",2013-04-01,5.99693189070024,6.01612635609445,5.96500116326412,5.90827145094854,5.84844143412427,5.77282270696757,NA,NA
"25",2013-05-06,6.21369956746791,6.20279302276111,6.10262742589038,6.01377650145359,5.92611820180104,5.80696412110898,NA,NA
"26",2013-06-03,6.1572668189299,6.16902109293655,6.13765666565646,6.06441977630739,6.00126440063144,5.92787055385752,NA,NA
"27",2013-07-01,5.97017299741961,6.0359089647901,6.05253080753289,6.00643350628451,5.95737424044838,5.89027329985294,NA,NA
"28",2013-08-01,5.90829552706387,5.94976271973081,5.97091025417321,5.92554417822127,5.85571416139699,5.77873179787666,NA,NA
"29",2013-09-02,5.9362392500076,5.94303111799921,5.95437345763641,5.906474914152,5.85532455100738,5.76990062904549,NA,NA
"30",2013-10-01,5.941042562637,5.97112635609445,5.96687863361985,5.92599872367581,5.8752003274049,5.80157764767903,NA,NA
"31",2013-11-01,5.99347734524569,6.00162635609445,6.00268298144594,5.97349872367581,5.92239597957881,5.85218634333121,NA,NA
"32",2013-12-02,6.2555682543366,6.23203544700354,6.16545570871866,6.04236236003945,5.97298688866972,5.9050954342403,NA,NA
"33",2014-01-09,6.1050067570104,6.14053812080033,6.11053592262241,6.06717519426405,6.03095480310822,5.98595104921356,NA,NA
"34",2014-02-03,6.04297734524569,6.12312635609445,6.20418298144594,6.22699872367581,6.25189597957881,6.23268634333121,NA,NA
"35",2014-03-03,7.80447734524569,7.90912635609445,8.07218298144594,8.07749872367581,8.11139597957881,8.11618634333121,NA,NA
"36",2014-04-01,7.97375007251842,8.05885362882172,8.22545570871866,8.25963508731218,8.30435052503336,8.29282270696757,NA,NA
"37",2014-05-05,8.21463523998253,8.33638951398918,8.54923561302489,8.55284082893897,8.61705387431566,8.64260739596278,NA,NA
"38",2014-06-02,8.08621418735096,8.12796846135761,8.31344613934067,8.39757767104423,8.43547492694723,8.44050213280489,NA,NA
"39",2014-07-01,8.22930343220222,8.29851766044227,8.37253080753289,8.40512915845842,8.42259163175273,8.41592547376599,NA,NA
"40",2014-08-01,8.16671544048379,8.35255492752302,8.67818298144594,8.84314158081867,8.90627693195977,8.91275777190263,NA,NA
"41",2014-09-01,8.08284098160933,8.29612635609445,8.4868193450823,8.66645326913036,8.73662325230609,8.84100452514939,NA,NA
"42",2014-10-01,8.26930343220221,8.4454741821814,8.59122645970681,8.77295524541494,8.83215684914403,8.90331677811382,NA,NA
"43",2014-11-05,10.0525884563568,10.1227930227611,10.2559607592237,10.3648876125647,10.4183404240233,10.4036307877757,NA,NA
"44",2014-12-01,15.525390388724,15.9711263560944,16.8699221118807,16.8512161149802,16.7778090230571,16.4237515607225,NA,NA
"45",2015-01-12,18.084810678579,18.8417930227611,20.3761829814459,20.3253320570091,19.4845626462455,18.7715196766645,NA,NA
"46",2015-02-02,15.2798983978773,15.5100737245155,15.5887092972354,15.4238934605179,15.2428433479999,14.8341863433312,NA,NA
"47",2015-03-02,14.7838582976266,14.7682692132373,14.5496115528745,14.5212368189139,14.316753122436,13.9322815814264,NA,NA
"48",2015-04-01,14.2919318907002,14.1779445379126,13.8918193450823,13.6355441782213,13.4216232523061,13.1314590706039,NA,NA
"49",2015-05-05,13.0386995674679,12.9739041338722,12.6881829814459,12.493220945898,12.271118201801,11.8041863433312,NA,NA
"50",2015-06-01,12.3357630595314,12.2416025465706,12.0962782195412,11.9274272951044,11.7248483605312,11.3527577719026,NA,NA
"51",2015-07-01,11.661042562637,11.7267785300075,11.6425308075329,11.4968682888932,11.3630264143614,11.0702732998529,NA,NA
"52",2015-08-03,11.0410011547695,11.112554927523,11.2048496481126,11.1607606284377,11.1115150271979,10.8689482480931,NA,NA
"53",2015-09-01,11.1896591634275,11.2206718106399,11.2604557087187,11.2069078145849,11.1602596159425,11.0919136160585,NA,NA
"54",2015-10-01,11.134204617973,11.1202172651854,11.1050011632641,11.0309987236758,10.955714161397,10.8705499796948,NA,NA
"55",2015-11-02,11.2039773452457,11.1886263560944,11.1336829814459,11.0334987236758,10.9288959795788,10.7846863433312,NA,NA
"56",2015-12-01,11.1206077800283,11.1372133126162,11.1160090684025,11.0190422019367,10.9060698926223,10.7350559085486,NA,NA
"57",2016-01-11,11.0494773452457,11.0371263560944,10.9895163147793,10.9093320570091,10.8818959795788,10.7895196766645,NA,NA
"58",2016-02-01,10.8724773452457,10.9086263560944,10.8891829814459,10.8339987236758,10.8223959795788,10.7346863433312,NA,NA
"59",2016-03-01,10.7752868690552,10.7677930227611,10.7453258385888,10.6693320570091,10.5962769319598,10.5275196766645,10.2737953880571,NA
"60",2016-04-01,10.7243344881028,10.7192215941897,10.685802029065,10.6093320570091,10.5405626462455,10.436091105236,10.1254620547238,NA
"61",2016-05-04,10.7277931347194,10.7200737245155,10.6376566656565,10.5623145131495,10.5302117690525,10.3894495012259,10.0807252126185,NA
"62",2016-06-01,10.534810678579,10.5473168322849,10.4743734576364,10.3912368189139,10.3491340748169,10.2132339623788,9.89260491186666,NA
"63",2016-07-01,10.2143344881028,10.2730311179992,10.2296115528745,10.1940939617711,10.1329435986264,10.0422815814264,9.73355729281904,NA
"64",2016-08-01,10.2162599539413,10.2319959213118,10.2125308075329,10.1673030715019,10.0873742404484,9.98157764767903,9.71067944602815,NA
"65",2016-09-01,10.109204617973,10.111580901549,10.1031829814459,10.0132714509485,9.95435052503336,9.86691361605848,9.63137114563289,NA
"66",2016-10-03,10.0729059166743,10.072554927523,10.0548496481126,9.99742729510438,9.95627693195977,9.87799586714073,9.67927157853332,NA
"67",2016-11-01,10.0457630595314,10.0682692132373,10.0753258385888,10.0240939617711,9.9996102652931,9.91085300999787,9.74450967377142,NA
"68",2016-12-01,10.0519318907002,10.0570354470035,10.0295466178096,9.98645326913036,9.96935052503336,9.86645907060393,9.70455296381471,NA
"69",2017-01-09,9.99912440406922,10.0093616502121,9.97171239321064,9.92305754720523,9.8833077442847,9.77242163744885,9.52722676060615,NA
"70",2017-02-01,10.0092551230235,10.0177930227611,9.99873853700149,9.96266539034248,9.9177848684677,9.80585300999787,9.50601761027935,NA
