"","Dates","1M","2M","3M","4M","5M","6M","7M","8M","9M","10M","11M","1Y","13M","14M","15M","16M","17M","18M","19M","20M","21M","22M","23M","2Y"
"1","2017-03-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-04-15","0.139382252213561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-05-15","0.342009684375302","0.521817558159201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-06-15","-0.258183407345514","0.195754340098306","0.499803276646658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-07-15","-0.386691221478911","-0.267072940680029","0.19040776955115","0.463856444588387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-08-15","0.164673377555689","-0.0946994963364958","0.138105873868588","0.34118644627196","0.560289351740717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-09-15","0.281415303121538","0.131104220988203","0.0419788422544443","0.0832071714880005","0.218749069894724","0.377299500035939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-10-15","0.244358919135074","0.345876125211449","0.269621015542835","0.130068824086834","0.057431551433563","0.310409388012136","0.400292237285004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-11-15","-0.105244668735492","0.176703346289033","0.286785989576058","0.0646151299622897","-0.190950272859556","-0.268790150226869","0.198626661537247","0.209917466314486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-12-15","-0.13279603305309","0.00723576609346832","0.275901215110564","0.380810298970398","0.0326141380235123","-0.346898795709232","-0.368844276202745","0.326637119683229","0.261654120336899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2018-01-15","0.407104911206049","0.443179318683535","0.702308121760355","0.805461481822763","0.945257028580221","0.531308267912225","0.0235458452922321","0.0810845155271638","0.993637307009138","0.856991924130697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2018-02-15","-0.144122524454971","0.272101045363677","0.360942854158013","0.543277778658229","0.550815076109796","0.749711324592174","0.316466303329509","-0.312315897535197","-0.175707981426834","0.916948084614711","0.721008905962888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
