"","Date","1M","2M","3M","4M","5M","6M","7M","8M","9M","10M","11M","1Y","13M","14M","15M","16M","17M","18M","19M","20M","21M","22M","23M","2Y"
"1",2017-03-15,9.68938225221356,9.6418175581592,9.60980327664666,9.39385644458839,9.06028935174072,8.71729950003594,8.430292237285,8.19991746631449,8.0416541203369,7.9369919241307,7.88100890596289,7.86271321425799,7.86860035351643,7.89244298702682,7.92894336781483,7.97067589550236,8.01650709128759,8.06228047137449,8.10472520394574,8.14551714482578,8.18141680970504,8.2145558240404,8.24367121590644,8.26665277704987
"2",2017-04-15,9.4620096843753,9.30575434009831,9.12040776955115,8.84118644627196,8.55874906989472,8.34040938801214,8.18862666153725,8.10663711968323,8.07363730700914,8.07694808461471,8.09953897668282,8.13645554528055,8.17722821664025,8.21972554299908,8.25840271612815,8.29427865021792,8.32535699734563,8.35082106691477,8.37266809594123,8.3899436797239,8.40434221965865,8.41578332692224,8.42400810105936,8.43120557638987
"3",2017-05-15,8.85181659265448,8.66292705931997,8.63810587386859,8.423207171488,8.08743155143356,7.72120984977313,7.41115572379725,7.16108451552716,6.98429201857317,6.8805646196274,6.81650571432189,6.79393208415269,6.8002791134821,6.82619414007248,6.86590625289487,6.91291239771794,6.96122927334065,7.0110743447284,7.05730109243374,7.10173261306838,7.14207233552502,7.17474449837109,7.20674314883385,7.23369894149316
"4",2017-06-15,8.54330877852109,8.4053005036635,8.38197884225444,8.16006882408683,7.79904972714044,7.43310120429077,7.10354584529223,6.8476841024648,6.68137383152226,6.56096240082447,6.49688708307285,6.4724204690071,6.47829824501601,6.50533828374086,6.54588816381094,6.59227627654003,6.6432373134675,6.69252882070315,6.74136122402975,6.78674401062383,6.82415431390694,6.8613214574584,6.89302118015961,6.92154191564285
"5",2017-07-15,8.66467337755569,8.4711042209882,8.29962101554283,8.05461512996229,7.81261413802351,7.61130826791223,7.47646630332951,7.40728361708435,7.37611580687667,7.37788415764342,7.40033726826848,7.43298257146748,7.47133065896287,7.50993948409246,7.54501003104991,7.5774971699893,7.60477430644315,7.6286297763919,7.64836629989635,7.66302314276203,7.67620851486792,7.68638820217227,7.69470245176927,7.7010081058534
"6",2017-08-15,8.62141530312154,8.37587612521145,8.27678598957606,8.1608102989704,8.02525702858022,7.90971132459217,7.83620999592355,7.78884592573271,7.77047217328692,7.77146925766914,7.7846576404181,7.80517170378513,7.82855899409568,7.8513463885167,7.8734519572276,7.89263778061033,7.90984147273061,7.92436194841328,7.93531358904611,7.94529258236546,7.95308407999869,7.95950923998859,7.96442308812258,7.96840388184699
"7",2017-09-15,8.27435891913507,8.16670334628903,8.05590121511056,7.88546148182276,7.7108150761098,7.58279982795588,7.48529457830644,7.43184427678837,7.40955244045914,7.41024445154134,7.42537117790973,7.44848621490851,7.47398674798508,7.50054808595662,7.52471056396826,7.54711541199665,7.56651903386057,7.58143993859282,7.59524991561427,7.60617925191686,7.61529481074448,7.62233441758741,7.62808543801147,7.63257591603438
"8",2017-10-15,7.88475533126451,7.78723576609347,7.78230812176036,7.70327777865823,7.58230504041148,7.43744685336009,7.31290278473435,7.21160271835203,7.14143526760638,7.09467846444876,7.06935636724574,7.06055327771903,7.06325979398414,7.07372792458013,7.08966359473185,7.10847123087157,7.12647447781937,7.1463908157556,7.164886331562,7.182680652699,7.1983536402155,7.21283076527823,7.22555704546472,7.23627431291246
"9",2017-11-15,7.64720396694691,7.52317931868354,7.52094285415801,7.46312764473805,7.344375310833,7.21576344314051,7.09672700195828,7.0056462079957,6.93810314415672,6.89480874606087,6.87185669325368,6.86321609561105,6.86551472805344,6.87543636217069,6.89020505091664,6.90587866527964,6.92431415242379,6.94218025942989,6.95990248554593,6.97587862856231,6.99090753513946,7.00431904699066,7.01575283467073,7.02603643742081
"10",2017-12-15,7.48710491120605,7.43210104536368,7.42822040988563,7.33940236353612,7.19640771576622,7.0391083794506,6.90523968313996,6.796803730652,6.71979714966781,6.67188575330516,6.64484560981533,6.63543980046213,6.63831829221518,6.64995813815986,6.66526821691409,6.68519847530547,6.70575547871393,6.72700693438643,6.74674319164674,6.76573187056958,6.78298505387539,6.79790690061911,6.81148830328372,6.82292587164094
"11",2018-01-15,7.01587747554503,6.93483053428272,7.0233649914907,7.00395532036101,6.86636865505568,6.68059930488947,6.48189419884393,6.30161377228293,6.15489425714224,6.0346637953681,5.94744454199254,5.88419211481138,5.84416039040943,5.82439818579586,5.8169315696558,5.82080363062113,5.83320506279301,5.8508827730343,5.87293281323362,5.89715572267773,5.92143924952831,5.94645640500241,5.96993995961798,5.992985801895
"12",2018-02-15,6.67683153927583,6.50152765793288,6.51081792655712,6.4593070893793,6.34769949137637,6.21492148552803,6.09502889845138,6.00303487992841,5.93474022373807,5.89201788223483,5.86772049143074,5.85897584639674,5.86088523209933,5.87051504866265,5.88468674513746,5.9021402775073,5.9201872763749,5.93887291234591,5.956805940453,5.97297227289611,5.98818021032063,6.00133961194492,6.01332169766264,6.02372796642476
"13",2018-03-15,6.59780975653993,6.36167298388721,6.28300890504283,6.17450489876524,6.04181259740191,5.9276433763943,5.85082794550659,5.8059994342572,5.78929627987949,5.79130629224708,5.80553342524631,5.82410732373404,5.84726585465811,5.86983062893472,5.89172039110023,5.91071900218582,5.92775488227204,5.94213375736323,5.95368065287971,5.96342801217746,5.97103265218865,5.97729953254649,5.98223044760054,5.98585770094395
