"","date","gov","gdp","oil","debt","inf","usd","ruo","cum_inf"
"1",2011-01-01,8101.99635721402,0.581133643047167,95.07,10542353.460163,2.06147131048707,29.99192,2.64,1.02061471310487
"2",2011-02-01,8115.94127553066,0.976520543321065,110.47,10641571.1917649,0.647853436996546,29.3211473684211,2.74,1.02722680060221
"3",2011-03-01,8169.68216927976,1.6221064395877,113.13,10814842.4349875,0.523413661167849,28.3191258486319,3.02,1.03260344600774
"4",2011-04-01,8237.47517280417,1.11349267728652,122.99,10998191.9770212,0.417522425794983,28.2273831124256,3.16,1.03691479696436
"5",2011-05-01,8308.40462978565,0.504061245145671,114.2,11198683.1144777,0.501889626832126,27.9342842105263,3.67,1.04211896476941
"6",2011-06-01,8380.86561196857,1.05912378718484,109.96,11352514.0791787,0.335447247423419,27.9871476190476,3.65,1.0456147241516
"7",2011-07-01,8496.49246741207,0.69063568966363,114.03,11600511.7481019,0.0562329899555687,27.9122545454546,3.82,1.04620270457441
"8",2011-08-01,8597.55622650067,0.910863074011206,116.08,11751272.6683616,0.258878105187295,28.7464909090909,3.86,1.04891109431243
"9",2011-09-01,8708.25290560805,0.759503344718269,104.12,11965019.6400352,0.178369345259246,30.5717318181818,4.36,1.05078203016371
"10",2011-10-01,8813.20337843906,1.16169642545277,108.63,12279625.6635467,0.447603288191569,31.3881666666667,4.87,1.05548536508245
"11",2011-11-01,8913.09045910478,0.565359758273416,111.52,12482779.872148,0.301262584783502,30.8229857142857,4.97,1.05866514757531
"12",2011-12-01,9042.98203020187,0.791829424168645,105.84,12802888.070323,0.229951165989882,31.4590727272727,5.33,1.06109956042608
"13",2012-01-01,9144.64479271927,1.30789513256776,110.56,12999989.5239151,0.191491294607634,31.2383,4.8,1.06313147371142
"14",2012-02-01,9340.03767065596,0.257316024327104,121.18,13133590.3369669,0.237888401640038,29.88546,4.36,1.06566054018156
"15",2012-03-01,9454.33199078748,-0.754476115054691,120.81,13198666.2701657,0.483451536617198,29.3426764515569,5.04,1.07081249243819
"16",2012-04-01,9565.84486057077,0.0167931370014758,117.41,13394755.7900246,0.297552557242135,29.4800182837825,5.24,1.07399872239271
"17",2012-05-01,9638.09747257012,1.23621927727611,101.02,13598436.4525443,0.541931922827831,30.80437,5.7,1.07981906432012
"18",2012-06-01,9715.54696446947,0.187293186801383,93.42,13603679.6432492,0.995478537078244,32.8783666666667,5.65,1.09056843134471
"19",2012-07-01,9713.38714825712,0.571117117581051,105.94,13646271.8838072,1.2962411738715,32.5251047619047,5.53,1.10470482838104
"20",2012-08-01,9778.19986741148,0.17848134956964,113.68,13820813.5647518,0.598876096601562,31.9567956521739,5.25,1.11132064153622
"21",2012-09-01,9826.92609998965,0.611106901661064,109.86,13963298.0188624,0.768348025721997,31.5176571428571,5.46,1.1198594517449
"22",2012-10-01,9872.92766270336,-0.148757531034538,109.45,14063054.8267482,0.427561882891359,31.11565,6.02,1.12464754390252
"23",2012-11-01,9981.46707876089,0.615016286697022,110.29,14204761.5979465,0.221150580344203,31.3987666666667,6.07,1.12713470847269
"24",2012-12-01,10012.0539064132,0.426015480918799,109.6,14273427.2224444,0.329899836862714,30.7546190476191,6.19,1.13085312403716
"25",2013-01-01,10078.1614826697,0.466231860489579,115.83,14352816.9754524,0.661496952538469,30.22714375,5.37,1.13833368299036
"26",2013-02-01,10063.3919535219,0.418405105862619,109.31,14407839.8725553,0.427909395625938,30.16307,5.61,1.14320471977345
"27",2013-03-01,10069.2165426951,1.13567752844616,107.56,14541527.1022721,0.243484572299971,30.9592070155275,5.96,1.1459882468959
"28",2013-04-01,10106.1680112066,0.85133437019411,101.39,14608861.0085208,0.497569933357131,31.1892906690577,6.11,1.15169033985226
"29",2013-05-01,10142.7063151658,-0.374514384400699,99.98,14624659.9388825,0.68198404337718,31.3058833333333,6.3,1.15954468419917
"30",2013-06-01,10109.70932351,0.881220743688957,102.3,14710893.6902108,0.525548253037721,32.306795,6.24,1.16563865103017
"31",2013-07-01,10094.409756684,0.335055808428184,108.54,14748572.6731896,0.886307972312992,32.74075,6,1.17596979932261
"32",2013-08-01,10096.2412294781,0.753970475322541,115.77,14895869.8218705,0.638887963926373,33.0248739130435,6.01,1.18348292882989
"33",2013-09-01,10108.1910452112,-0.229183382288813,107,15043110.6360758,0.428335355198757,32.60167,6.18,1.18855220463681
"34",2013-10-01,10122.0272376154,1.42118809238979,106.48,15198485.6779165,0.53751333857258,32.0992260869565,5.98,1.19494083127263
"35",2013-11-01,10099.645294441,0.218698586323135,110.72,15287114.1980754,0.441010084841836,32.694,6.11,1.20021064084644
"36",2013-12-01,10181.3794999862,0.270197082484127,108.75,15389210.5862526,0.29982738689159,32.8807047619048,6.43,1.20380920104808
"37",2014-01-01,10130.7251246832,0.479781351206906,107.31,15041488.8620814,0.281502324533652,33.7843529411765,6.05,1.20719795193198
"38",2014-02-01,10162.5960492508,1.1499512428822,108.13,15213092.4273201,0.56791793913099,35.24404,5.96,1.21405384566183
"39",2014-03-01,10162.444479367,0.834414015566216,105.15,15206319.0850225,0.923501485850303,36.0147208158008,7.83,1.22526565096554
"40",2014-04-01,10143.3010097971,0.795976236876928,107.68,15302216.2752091,0.887581380575852,35.8498001605398,7.82,1.2361408807461
"41",2014-05-01,10026.2041940771,0.92430242476664,106.81,15381999.8691698,0.922048280333739,34.833655,8.15,1.24753869647952
"42",2014-06-01,10055.0018524522,0.111303054762665,109.28,15525582.0238121,0.725626256404928,34.4495333333333,8.18,1.25659116481999
"43",2014-07-01,10052.1478944085,0.678303290374149,105.04,15579812.1914165,0.556407161614203,34.6354086956522,8.12,1.26358292805326
"44",2014-08-01,10015.1696420273,0.155744698925094,100.37,15622768.1327028,0.738905589724078,36.0984272727273,7.85,1.27291961293944
"45",2014-09-01,9990.40087086701,0.69885389777154,92.72,15539695.5627556,0.868320723110101,37.901780952381,7.94,1.28397263772713
"46",2014-10-01,9986.08867260423,-0.468691965284955,83.32,15526747.7039183,0.787457365033609,40.7986869565217,8.23,1.29408337482793
"47",2014-11-01,9964.8510581597,0.763228397028236,71.39,15520712.4126769,1.16085828207821,46.2174842105263,10.23,1.30910584886161
"48",2014-12-01,9755.85349349506,0.734729640333196,53.42,15329542.970924,2.40972842728329,55.7704363636364,15.45,1.34065174464486
"49",2015-01-01,9535.78464921801,0.0522300819333026,47.62,14998495.7551197,3.54148461192015,65.1530875,16.96,1.3881307198809
"50",2015-02-01,10058.00240582,-0.515106247044832,60.49,14693218.3973506,2.08791989855778,64.5181736842105,15.1,1.41711377739928
"51",2015-03-01,10023.8462435968,0.102387716433558,52.44,14504357.4370296,1.11353797078683,60.5091140813431,14.83,1.43289387739988
"52",2015-04-01,9974.77061978049,-0.31147911946237,63.1,14407293.3566531,0.447604734749436,53.0902650315917,14.37,1.43930757823905
"53",2015-05-01,10100.9329978394,0.442895111895307,62.36,14388292.9341756,0.372127066656023,50.4679578947368,12.79,1.44466363131011
"54",2015-06-01,10100.9166786806,0.20736826435534,60.26,14336456.4649853,0.295692761312754,54.44904,12.5,1.44893539709321
"55",2015-07-01,10069.2147914319,1.06356372256683,51.84,14279786.4175554,0.866497936026495,57.1796695652174,11.49,1.46149039240338
"56",2015-08-01,10088.4829869781,-0.0703314727336389,47.07,14210496.1256247,0.848918096155856,65.4229904761905,10.81,1.47389724881807
"57",2015-09-01,10062.9803977567,0.768099159581933,45.94,14189484.5754103,0.788306527102589,66.7828954545455,11.1,1.48551607703329
"58",2015-10-01,10028.6352144088,0.714637361697722,46.4,14163266.4426105,0.707402584676834,63.2455869565217,11.16,1.49602465615802
"59",2015-11-01,10014.4479753919,-0.458901960741959,42.88,14191981.0259847,0.630729389803532,65.0295631578947,11.45,1.50546052334311
"60",2015-12-01,10008.6038679852,0.128471839302998,35.16,14123552.058895,0.559645653738786,69.7048478260869,11.2,1.51388576773075
"61",2016-01-01,9386.52840709242,0.863247062873349,31.69,13864507.045786,0.651481540169503,77.934425,11.06,1.52374845404677
"62",2016-02-01,9355.98688158736,0.963023358291471,33.97,13997329.6722019,0.497939839293621,77.3284947368421,10.88,1.53133580465009
"63",2016-03-01,9361.08270323634,-0.585171934939286,36.01,14031112.0880433,0.363595687152519,70.7816479447159,10.93,1.53690367559162
"64",2016-04-01,9436.25553239027,-0.0917317060137979,44.34,14015357.6072768,0.427603905768544,66.3403480808822,10.71,1.54347553573635
"65",2016-05-01,9398.08955165215,0.397054227010983,47.71,14008654.8215029,0.432172329790461,65.8386555555556,11.06,1.55014600991889
"66",2016-06-01,9413.01162220294,0.53826105719059,46.85,13974099.228592,0.465724958827724,65.2192666666667,10.55,1.55736542678536
"67",2016-07-01,9419.62473256871,0.303834126533478,39.51,13950306.1740252,0.606595462876219,64.3379681818182,10.28,1.56681233480464
"68",2016-08-01,9388.57991190097,0.655171355046081,44.31,13916366.1990165,0.508944759625914,64.9365272727273,10.29,1.5747865440758
"69",2016-09-01,9409.93175631031,0.142873299365696,46.34,13807522.2873987,0.388303527255379,64.5572045454546,10.24,1.58090149577319
"70",2016-10-01,9439.3008004047,1.53845633479162,44.85,13741752.7483986,0.397351694900404,62.6200047619048,10.32,1.58718323466135
"71",2016-11-01,9452.55134870664,1.16375740369295,46.85,13736191.1822918,0.320606100040254,64.3137380952381,10,1.59227184093049
"72",2016-12-01,9494.41737344961,-0.0231605567657267,53.46,13795533.4568984,0.189560660277773,62.1564909090909,10.18,1.59529016194557
"73",2017-01-01,9524.61011756081,-0.983164983879853,53.95,13777194.8546911,0.311486405526022,59.62985625,10.12,1.60025927392873
"74",2017-02-01,9564.49800284593,0.742145450797751,52.31,13815887.0182518,0.0879551295028471,58.5393611111111,10.16,1.60166678404549
"75",2017-03-01,9607.65264981337,2.11217474364843,50.6,13847088.5130644,0.0336440166752252,57.7120294795323,9.89,1.6022056490854
"76",2017-04-01,9605.21526565447,1.19934217428866,49.36,13903035.492368,0.317593050407752,56.7237009134353,9.55,1.60729414288014
"77",2017-05-01,9607.19736788624,0.665062009616896,48.15,13875800.3433391,0.392211679736044,56.9500684210526,9.12,1.61359813823623
"78",2017-06-01,9586.29188713219,1.10763824948144,46.08,13853592.1976511,0.715761057252797,57.8931761904762,9.11,1.62514764533028
"79",2017-07-01,9608.36431534315,0.599627429778772,51.74,13906015.9187938,0.136707927193829,59.6926761904762,8.93,1.62736935099005
"80",2017-08-01,9658.37867616879,1.62063591090311,51.69,13916849.6480612,-0.0410212499836837,59.6127260869565,8.5,1.62670178374042
"81",2017-09-01,9691.74078754481,0.66644848660221,56.27,13990774.3072629,0.0683024330635825,57.7446909090909,8.34,1.6278128606374
"82",2017-10-01,9722.16228995501,-0.575176522061339,61.15,14082309.3158513,0.167304413636377,57.6980523809524,8.03,1.63053626339899
"83",2017-11-01,9753.32800513825,1.20691388267638,63.33,14071327.4501293,0.100479549382225,58.9265523809524,7.99,1.63217461888897
"84",2017-12-01,9780.69963347115,1.45288758731975,66.73,14118128.7965756,0.209467724107416,58.5738545454546,7.78,1.63559349791661
"85",2018-01-01,9794.5921057518,1.98689962790258,66.67,14217957.7736758,0.00148869976710497,56.4981,7.08,1.63561784699321
"86",2018-02-01,9839.28984378099,0.347003124725286,63.83,14375865.0301152,0.0779541640963874,56.8067052631579,7.16,1.63689287921364
"87",2018-03-01,9855.63452878406,0.02701537911115,67.67,14496910.2903931,0.193673394006183,57.3580289524126,7.16,1.64006310520906
"88",2018-04-01,9883.8953697251,0.993711142374609,73.17,14582125.845153,0.367588360047,60.4579528776105,7.01,1.64609178628123
"89",2018-05-01,9880.57439274785,1.35721242919948,75.75,14699985.5513669,0.402268152695983,62.2309,6.95,1.65271348930159
"90",2018-06-01,9884.47278416466,-0.123254019185085,76.44,14690628.3159703,0.595836962270697,62.7685047619048,7,1.66256096715128
"91",2018-07-01,9893.60829237581,0.646712705692249,72.76,14753564.8193918,0.336818709097636,62.8619476190476,7.08,1.6681607835388
"92",2018-08-01,9899.08514011939,0.151410743001164,76.89,14864656.0932334,0.50899754837489,66.0764086956522,7.03,1.67665168102996
"93",2018-09-01,9907.83352638296,1.11098706292867,82.07,14985062.0780256,0.378289337849584,67.6660952380952,7.13,1.68299427557218
"94",2018-10-01,9896.73397066642,0.548499117999645,73.29,15022707.9099772,0.317252891997797,65.8545272727273,7.26,1.68833362358359
"95",2018-11-01,9914.66453303275,0.747703932135505,57.91,15129733.8477368,0.380345063758767,66.355680952381,7.24,1.69475511718067
"96",2018-12-01,9895.94694130965,0.789869203431811,50.62,15174054.6950346,0.629371646163574,67.3353136363637,7.48,1.70542142536011
"97",2019-01-01,9860.30573794676,0.221886473529132,62.96,15223901.149667,0.701479329118155,66.51254375,7.62,1.71738460413336
"98",2019-02-01,9910.68810761603,1.0553015638858,64.73,16122068.465642,0.307934505313413,65.810525,7.52,1.72267302391843
"99",2019-03-01,9959.8196188539,1.76234751673984,68.63,16258781.6181652,0.22369215542189,64.7616685432231,7.59,1.7265265083365
"100",2019-04-01,9929.67369141084,1.31713074553253,73.09,16354693.1901188,0.277589921498744,64.9328839417138,7.67,1.73131917191565
"101",2019-05-01,9987.24158137731,-0.0275484293636823,67.68,16395056.9387772,0.362335337122312,64.8187055555556,7.65,1.73759235307387
